source_column_number,source_code,proposed_clean_name,base_question_code,question_order,section_order,section_title_en,component,option_code,option_label_ro,option_label_en,source_header_ro,response_format,measurement_level,storage_type,coded_value_semantics,missing_value_semantics,nonempty_all_attempts,nonempty_complete_responses,distinct_nonempty_values,current_article_use,measurement_or_reporting_limit,preliminary_release_class
36,G01Q03[SQ005],respondent_role_operations_manager,G01Q03,3,1,COMPANY PROFILE,multiple-response option flag,SQ005,Manager de Operațiuni,Operations manager,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Manager de Operațiuni]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",270,212,2,Not used in the reported analysis,Informant position and organisation uniqueness not verified,public instrument documentation; no respondent values
37,G01Q03[SQ005comment],respondent_role_operations_manager_comment,G01Q03,3,1,COMPANY PROFILE,free-text or comment field,,,,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Manager de Operațiuni][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,36,33,32,Not used in the reported analysis,Informant position and organisation uniqueness not verified,"manual disclosure review, redaction, language identification and translation required"
38,G01Q03[SQ006],respondent_role_other,G01Q03,3,1,COMPANY PROFILE,multiple-response option flag,SQ006,Altul (vă rugăm să specificați),Other (please specify),"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Altul (vă rugăm să specificați)]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",270,212,2,Not used in the reported analysis,Informant position and organisation uniqueness not verified,public instrument documentation; no respondent values
39,G01Q03[SQ006comment],respondent_role_other_comment,G01Q03,3,1,COMPANY PROFILE,free-text or comment field,,,,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Altul (vă rugăm să specificați)][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,46,33,42,Not used in the reported analysis,Informant position and organisation uniqueness not verified,"manual disclosure review, redaction, language identification and translation required"
40,G02Q04,ai_familiarity_engagement,G02Q04,4,2,ADOPTION OF AI TECHNOLOGIES,single-choice structured response,,,,"Cât de familiarizat sunteți cu aplicațiile AI în afaceri? Context: Nivelul dvs. de familiarizare cu AI ar putea influența (conștient sau nu) modul în care compania d-voastră adoptă aceste tehnologii. O bună înțelegere poate duce la o adoptare timpurie/proactivă și, implicit, la un avantaj competitiv, în timp ce o cunoaștere limitată poate întârzia integrarea acestor tehnologii. Oportunități: Experința (la orice nivel, fie și în scenarii strict personale) în utilizarea acestor tehnologii poate stimula o strategie proactivă și investiții timpurii. Provocări: Lipsa de familiarizare (anterioară) cu aceste tehnologii poate duce la o adoptare lentă și la pierderea unor oportunități.",single choice with a global explanatory comment,partially ordered categorical item with construct conflation,categorical code stored as text,"AO01 = Not at all familiar | AO02 = Slightly familiar | AO03 = Familiar, but our company does not use AI technologies | AO04 = Familiar; our company has projects at various stages - budgeting, testing or implementation - to introduce AI technologies | AO05 = We actively use AI technologies",blank = no category recorded,265,212,5,Primary engagement outcome,"Combines planning, testing and deployment in one category; not a validated stage scale",public instrument documentation; no respondent values
41,G02Q04[comment],ai_familiarity_engagement_comment,G02Q04,4,2,ADOPTION OF AI TECHNOLOGIES,free-text or comment field,,,,"Cât de familiarizat sunteți cu aplicațiile AI în afaceri? Context: Nivelul dvs. de familiarizare cu AI ar putea influența (conștient sau nu) modul în care compania d-voastră adoptă aceste tehnologii. O bună înțelegere poate duce la o adoptare timpurie/proactivă și, implicit, la un avantaj competitiv, în timp ce o cunoaștere limitată poate întârzia integrarea acestor tehnologii. Oportunități: Experința (la orice nivel, fie și în scenarii strict personale) în utilizarea acestor tehnologii poate stimula o strategie proactivă și investiții timpurii. Provocări: Lipsa de familiarizare (anterioară) cu aceste tehnologii poate duce la o adoptare lentă și la pierderea unor oportunități. [Comentariu]",single choice with a global explanatory comment,partially ordered categorical item with construct conflation,UTF-8 text,,blank = no comment or open-text response recorded,247,199,247,Primary engagement outcome,"Combines planning, testing and deployment in one category; not a validated stage scale","manual disclosure review, redaction, language identification and translation required"
42,G01Q05[SQ001],adoption_reason_cost_efficiency,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,multiple-response option flag,SQ001,Reducerea costurilor & îmbunătățirea eficienței,Cost reduction and efficiency improvement,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Reducerea costurilor & îmbunătățirea eficienței]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",263,212,2,Not reported,Perceived motivations; not causal drivers,public instrument documentation; no respondent values
43,G01Q05[SQ001comment],adoption_reason_cost_efficiency_comment,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,free-text or comment field,,,,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Reducerea costurilor & îmbunătățirea eficienței][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,225,185,223,Not reported,Perceived motivations; not causal drivers,"manual disclosure review, redaction, language identification and translation required"
44,G01Q05[SQ002],adoption_reason_competitive_strategic_advantage,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,multiple-response option flag,SQ002,Avantaj competitive/strategic,Competitive or strategic advantage,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Avantaj competitive/strategic]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",263,212,2,Not reported,Perceived motivations; not causal drivers,public instrument documentation; no respondent values
45,G01Q05[SQ002comment],adoption_reason_competitive_strategic_advantage_comment,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,free-text or comment field,,,,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Avantaj competitive/strategic][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,191,154,191,Not reported,Perceived motivations; not causal drivers,"manual disclosure review, redaction, language identification and translation required"
46,G01Q05[SQ003],adoption_reason_customer_experience_personalisation,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,multiple-response option flag,SQ003,Experiență îmbunătățită pentru clienți & personalizarea unor servicii,Improved customer experience and service personalisation,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Experiență îmbunătățită pentru clienți & personalizarea unor servicii]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",263,212,2,Not reported,Perceived motivations; not causal drivers,public instrument documentation; no respondent values
47,G01Q05[SQ003comment],adoption_reason_customer_experience_personalisation_comment,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,free-text or comment field,,,,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Experiență îmbunătățită pentru clienți & personalizarea unor servicii][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,151,123,151,Not reported,Perceived motivations; not causal drivers,"manual disclosure review, redaction, language identification and translation required"
48,G01Q05[SQ004],adoption_reason_data_informed_decisions,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,multiple-response option flag,SQ004,Facilitarea deciziilor bazate pe date,Support for data-informed decision-making,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Facilitarea deciziilor bazate pe date]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",263,212,2,Not reported,Perceived motivations; not causal drivers,public instrument documentation; no respondent values
49,G01Q05[SQ004comment],adoption_reason_data_informed_decisions_comment,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,free-text or comment field,,,,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Facilitarea deciziilor bazate pe date][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,220,181,219,Not reported,Perceived motivations; not causal drivers,"manual disclosure review, redaction, language identification and translation required"
50,G01Q05[SQ005],adoption_reason_other,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,multiple-response option flag,SQ005,Altul (vă rugăm să specificați),Other (please specify),"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Altul (vă rugăm să specificați)]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",263,212,2,Not reported,Perceived motivations; not causal drivers,public instrument documentation; no respondent values
51,G01Q05[SQ005comment],adoption_reason_other_comment,G01Q05,5,2,ADOPTION OF AI TECHNOLOGIES,free-text or comment field,,,,"Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? Context: Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date. Oportunități: Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate. Provocări: Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația. Se pot alege mai multe răspunsuri: [Altul (vă rugăm să specificați)][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,70,56,70,Not reported,Perceived motivations; not causal drivers,"manual disclosure review, redaction, language identification and translation required"
52,G01Q06[SQ001],adoption_barrier_implementation_cost,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,multiple-response option flag,SQ001,Costuri mari de implementare,High implementation costs,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Costuri mari de implementare]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",257,212,2,Used for descriptive reporting,Perceived constraints; no validated scale,public instrument documentation; no respondent values
53,G01Q06[SQ001comment],adoption_barrier_implementation_cost_comment,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,free-text or comment field,,,,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Costuri mari de implementare][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,224,183,220,Used for descriptive reporting,Perceived constraints; no validated scale,"manual disclosure review, redaction, language identification and translation required"
54,G01Q06[SQ002],adoption_barrier_technical_expertise,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,multiple-response option flag,SQ002,Lipsa expertizei tehnice,Lack of technical expertise,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Lipsa expertizei tehnice]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",257,212,2,Used for descriptive reporting,Perceived constraints; no validated scale,public instrument documentation; no respondent values
55,G01Q06[SQ002comment],adoption_barrier_technical_expertise_comment,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,free-text or comment field,,,,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Lipsa expertizei tehnice][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,200,163,200,Used for descriptive reporting,Perceived constraints; no validated scale,"manual disclosure review, redaction, language identification and translation required"
56,G01Q06[SQ003],adoption_barrier_impact_uncertainty,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,multiple-response option flag,SQ003,Incertitudini privind impactul AI,Uncertainty about the impact of AI,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Incertitudini privind impactul AI]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",257,212,2,Used for descriptive reporting,Perceived constraints; no validated scale,public instrument documentation; no respondent values
57,G01Q06[SQ003comment],adoption_barrier_impact_uncertainty_comment,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,free-text or comment field,,,,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Incertitudini privind impactul AI][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,121,98,121,Used for descriptive reporting,Perceived constraints; no validated scale,"manual disclosure review, redaction, language identification and translation required"
58,G01Q06[SQ004],adoption_barrier_regulatory_ethical_concerns,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,multiple-response option flag,SQ004,Îngrijorări legate de reglementări sau etică,Regulatory or ethical concerns,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Îngrijorări legate de reglementări sau etică]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",257,212,2,Used for descriptive reporting,Perceived constraints; no validated scale,public instrument documentation; no respondent values
59,G01Q06[SQ004comment],adoption_barrier_regulatory_ethical_concerns_comment,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,free-text or comment field,,,,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Îngrijorări legate de reglementări sau etică][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,145,122,145,Used for descriptive reporting,Perceived constraints; no validated scale,"manual disclosure review, redaction, language identification and translation required"
60,G01Q06[SQ005],adoption_barrier_employee_resistance,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,multiple-response option flag,SQ005,Rezistență din partea angajaților,Employee resistance,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Rezistență din partea angajaților]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",257,212,2,Used for descriptive reporting,Perceived constraints; no validated scale,public instrument documentation; no respondent values
61,G01Q06[SQ005comment],adoption_barrier_employee_resistance_comment,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,free-text or comment field,,,,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Rezistență din partea angajaților][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,110,93,109,Used for descriptive reporting,Perceived constraints; no validated scale,"manual disclosure review, redaction, language identification and translation required"
62,G01Q06[SQ006],adoption_barrier_technology_maturity,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,multiple-response option flag,SQ006,Nivelul de maturitate al noilor tehnologii este inca scazut,The maturity of new technologies remains low,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Nivelul de maturitate al noilor tehnologii este inca scazut]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",257,212,2,Used for descriptive reporting,Perceived constraints; no validated scale,public instrument documentation; no respondent values
63,G01Q06[SQ006comment],adoption_barrier_technology_maturity_comment,G01Q06,6,3,CHALLENGES IN AI IMPLEMENTATION,free-text or comment field,,,,"Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? Context: Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări. Oportunități: Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor. Provocări: Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală. Se pot alege mai multe răspunsuri: [Nivelul de maturitate al noilor tehnologii este inca scazut][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,66,50,66,Used for descriptive reporting,Perceived constraints; no validated scale,"manual disclosure review, redaction, language identification and translation required"
