variable_name,source_code,question_or_derivation,cleaned_label_en,response_type,coding,missing_completed_n,missing_completed_pct,unique_nonmissing_values,analysis_role,theoretical_construct,public_release_status,notes
text_g01q06_sq005comment,G01Q06[SQ005comment],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,text g01q06 sq005comment,text/categorical,categorical label retained or redacted free text,119,56.13,92,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q06_sq006comment,G01Q06[SQ006comment],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,text g01q06 sq006comment,text/categorical,categorical label retained or redacted free text,162,76.42,50,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q07_comment,G01Q07[comment],Cum credeți că AI va afecta dinamica locurilor de muncă în domeniul dvs.?,text g01q07 comment,text/categorical,categorical label retained or redacted free text,12,5.66,200,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g04q08_sq001comment,G04Q08[SQ001comment],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,text g04q08 sq001comment,text/categorical,categorical label retained or redacted free text,69,32.55,143,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g04q08_sq003comment,G04Q08[SQ003comment],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,text g04q08 sq003comment,text/categorical,categorical label retained or redacted free text,163,76.89,48,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g04q08_sq006comment,G04Q08[SQ006comment],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,text g04q08 sq006comment,text/categorical,categorical label retained or redacted free text,163,76.89,49,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g04q08_sq007comment,G04Q08[SQ007comment],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,text g04q08 sq007comment,text/categorical,categorical label retained or redacted free text,68,32.08,143,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g04q08_sq008comment,G04Q08[SQ008comment],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,text g04q08 sq008comment,text/categorical,categorical label retained or redacted free text,143,67.45,69,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g04q08_sq009comment,G04Q08[SQ009comment],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,text g04q08 sq009comment,text/categorical,categorical label retained or redacted free text,91,42.92,121,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q09_sq001comment,G05Q09[SQ001comment],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,text g05q09 sq001comment,text/categorical,categorical label retained or redacted free text,22,10.38,189,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q09_sq002comment,G05Q09[SQ002comment],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,text g05q09 sq002comment,text/categorical,categorical label retained or redacted free text,15,7.08,195,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q09_sq003comment,G05Q09[SQ003comment],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,text g05q09 sq003comment,text/categorical,categorical label retained or redacted free text,119,56.13,93,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q09_sq004comment,G05Q09[SQ004comment],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,text g05q09 sq004comment,text/categorical,categorical label retained or redacted free text,158,74.53,54,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q09_sq005comment,G05Q09[SQ005comment],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,text g05q09 sq005comment,text/categorical,categorical label retained or redacted free text,156,73.58,56,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q09_sq006comment,G05Q09[SQ006comment],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,text g05q09 sq006comment,text/categorical,categorical label retained or redacted free text,137,64.62,75,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g05q10_comment,G05Q10[comment],"Credeți că AI ar putea duce la o creștere economică explozivă, depășind limitele tradiționale (max 12% GDP)?",text g05q10 comment,text/categorical,categorical label retained or redacted free text,11,5.19,201,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g06q11_comment,G06Q11[comment],Credeți că AI ar trebui să fie mai bine reglementată pentru a preveni riscurile economice și etice?,text g06q11 comment,text/categorical,categorical label retained or redacted free text,10,4.72,202,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q12_comment,G01Q12[comment],Care este cea mai mare îngrijorare legată de etică în privința utilizării AI în afaceri?,text g01q12 comment,text/categorical,categorical label retained or redacted free text,12,5.66,200,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q13_comment,G01Q13[comment],Cât de competitivă credeți că este România în adoptarea AI comparativ cu alte țări europene?,text g01q13 comment,text/categorical,categorical label retained or redacted free text,10,4.72,202,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g07q14_comment,G07Q14[comment],Cum ar trebui să se poziționeze România pe piața globală AI?,text g07q14 comment,text/categorical,categorical label retained or redacted free text,10,4.72,202,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g08q15_comment,G08Q15[comment],Cum evaluați impactul tehnologiilor AI adoptate de compania dvs (sau în curs de adoptare) asupra mediului?,text g08q15 comment,text/categorical,categorical label retained or redacted free text,10,4.72,202,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q16_comment,G01Q16[comment],Ce rol credeți că ar trebui să aibă stimulentele și sprijinul guvernamental în accelerarea adoptării AI în domeniul dvs.?,text g01q16 comment,text/categorical,categorical label retained or redacted free text,9,4.25,203,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q17_comment,G01Q17[comment],Cum credeți că se va schimba modelul de afaceri al companiei dvs. pe măsură ce integrarea AI se va accentua în următorii cinci ani?,text g01q17 comment,text/categorical,categorical label retained or redacted free text,9,4.25,203,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g08q18,G08Q18,Care noi aplicații sau inovații AI credeți că vor apărea în domeniul dvs. în următorii cinci ani?,text g08q18,text/categorical,categorical label retained or redacted free text,3,1.42,209,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q19_comment,G01Q19[comment],Cum intenționați să măsurați rentabilitatea investiției (ROI) pentru proiectele dvs. legate de AI?,text g01q19 comment,text/categorical,categorical label retained or redacted free text,9,4.25,203,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q20,G01Q20,Comentarii finale și/sau sugestii,text g01q20,text/categorical,categorical label retained or redacted free text,23,10.85,189,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
